h,Magic
0.01,0.002578172378321142
0.11,0.28606160572650907
0.21,1.023173875071329
0.31,2.2342923533516412
0.41,3.9258197623394224
0.51,6.12894467060692
0.61,8.887370196679974
0.71,12.274902539827828
0.81,16.431526909397903
0.91,21.681310269046307
1.01,27.69689645805159
1.11,21.194487559684795
1.21,17.241226200316085
1.31,14.396459799663702
1.41,12.255613892308261
1.51,10.580644942573365
1.61,9.238600638602065
1.71,8.123668953111512
1.81,7.213398813662323
1.91,6.454988439420454
2.01,5.811755275181383
